ingredients,description,grade,efficacy
(아몬드/보리지/아마/올리브)애씨드/글리세라이즈,"아몬드, 보리지, 아마, 올리브를 포함한 여러가지 무향의 식물성 오일에서 비롯된 지방산과 트라이글리세라이드 성분의 혼합물.",훌륭함,"수분 공급, 안티에이징"
"1,10-데칸다이올",용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"1,2-부탄다이올","보습제(습윤제), 피부컨디셔닝제, 용매, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
"1,2-헥산다이올",고분자 글리콜로 알려진 물질 부류에 속하는 방부제.,좋음,수분 공급
"1,2-헥산다이일다이카프레이트",피부톤케어. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"1,4-부탄다이올",용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"1,5-디히드록시나프탈렌",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"1,5-펜탄다이올",용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
10-하이드록시데세노익애씨드,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
10-하이드록시데카노익애씨드,피부 컨디셔닝 및 수분차단 역할을 하는 합성 성분.,좋음,수분 공급
10-하이드록시스테아릭애씨드,"피부컨디셔닝제, 피부보호. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
1-나프탈렌아세틱애씨드,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
1-나프톨,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
1-메틸하이단토인-2-이미드,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
1-아세토나프톤,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
1-아세톡시-2-메틸나프탈렌,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"1-하이드록시에틸4,5-다이아미노피라졸설페이트",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"2,2'-메틸렌비스4-아미노페놀에이치씨엘",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"2,2'-티오비스(4-클로로페놀)",항미생물제(방부제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"2,3-부탄다이올","합성 또는 식물에서 유래된 보습제로 화장품에서 용제로 사용되는 성분이다. 분산제, 안정화제로도 쓰이기도 한다.",좋음,수분 공급
"2,4-다이메틸-3-사이클로헥신카복스알데하이드","착향제, 토닉. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
"2,4-다이아미노페녹시에탄올설페이트",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"2,4-다이아미노페놀",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
